Left context,Center,Punct,Right context,Title,Author,Birthday,Header,Created,Date,Century,Sphere,Type,Topic,Publication,Medium,Full context,Слово слева,Значение,Meaning number,Зависит ли от какого-то слова в предложении,POS,full_tag,Семантика глагола. К какой сем. группе он относится?,Вершинное слово: препозиция или постпозиция,Расстояние от вершинного слова,Значение (abs),Вершинное слово,Начальная форма,Прямое или переносное значение,Есть ли ещё,Full context
"обитают свиньи и коровы, и снующие",туда-сюда,,машины -- запах бензина тоже вредит собаке.,"Юлия Зорина. Собачья работа // «Семья», 2001.11.14",Юлия Зорина,,Собачья работа,2001,2001,XXI,публицистика,статья,дом и домашнее хозяйство,«Семья»,газета,"А в части ведь чего только нет: и прикухонное хозяйство, где обитают свиньи и коровы, и снующие туда-сюда машины -- запах бензина тоже вредит собаке.",снующие,"В разные стороны, во все концы",1,Да,причастие (полное),"PRTF, impf, intr, pres, actv plur, nomn",движения,препозиция,0,0,снующие,сновать,Прямое,Отсутствует,"А в части ведь чего только нет: и прикухонное хозяйство, где обитают свиньи и коровы, и снующие туда-сюда машины -- запах бензина тоже вредит собаке."
"устремление, биение голубиных крыл, качание маятника --",туда-сюда,...,,"Светлана Васильева. Триптих с тремя неизвестными // «Октябрь», 2001",Светлана Васильева,1950,Триптих с тремя неизвестными,2001,2001,XXI,художественная,рассказ,,«Октябрь»,журнал,"Там мелодические ряды как бы не существуют самостоятельно, а являются лишь частью чего-то целого, какой-то общей гармонии, к которой невозможно даже приблизиться, остается только устремление, биение голубиных крыл, качание маятника -- туда-сюда...",маятника,Таким или иным образом,3,Да,существительное,"NOUN, inan, neut sing, nomn",,препозиция,1,1,качание,качание,Прямое,Отсутствует,"Там мелодические ряды как бы не существуют самостоятельно, а являются лишь частью чего-то целого, какой-то общей гармонии, к которой невозможно даже приблизиться, остается только устремление, биение голубиных крыл, качание маятника -- туда-сюда..."
через которые можно достаточно часто бегать,туда-сюда,,в целях каждодневной щадящей терапии.,Григорий Ревзин. Очерки по философии архитектурной формы (2002),Григорий Ревзин,,Очерки по философии архитектурной формы,2002,2002,XXI,учебно-научная,монография,строительство и архитектура | наука и технологии,Г. И. Ревзин. Очерки по философии архитектурной формы,книга,"Степень радикальности реализации этих стратегий также весьма различна -- от тотальных преобразований посюстороннего пространства в потустороннее до ничтожных по размерам «дырочек» в мир иной, через которые можно достаточно часто бегать туда-сюда в целях каждодневной щадящей терапии.",бегать,"В разные стороны, во все концы",1,Да,глагол (инфинитив),"INFN, impf, intr",движения,препозиция,0,0,бегать,бегать,Прямое,Отсутствует,"Степень радикальности реализации этих стратегий также весьма различна -- от тотальных преобразований посюстороннего пространства в потустороннее до ничтожных по размерам «дырочек» в мир иной, через которые можно достаточно часто бегать туда-сюда в целях каждодневной щадящей терапии."
Я брожу по двору,туда-сюда,.,,"Гала Рудых. Такой устойчивый мир // «Октябрь», 2002",Гала Рудых,,Такой устойчивый мир,2002,2002,XXI,художественная,рассказ,,«Октябрь»,журнал,Я брожу по двору туда-сюда.,двору,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr sing, 1per, pres, indc",движения,препозиция,2,2,брожу,бродить,Прямое,Отсутствует,Я брожу по двору туда-сюда.
черты «вечного возвращения» в замкнутой системе («,туда-сюда,»,в проруби).,"Владимир Лапенков. Форматирование андеграунда // «Звезда», 2002",Владимир Лапенков,,Форматирование андеграунда,2002,2002,XXI,публицистика,статья,искусство и культура,«Звезда»,журнал,Сама экологическая ниша рутинных форм борьбы-выживания приобретает черты «вечного возвращения» в замкнутой системе («туда-сюда» в проруби).,системе,"В разные стороны, во все концы",1,Да,существительное,"NOUN, inan, femn sing, gent",,постпозиция,0,0,в проруби,в прорубь,Прямое,Отсутствует,Сама экологическая ниша рутинных форм борьбы-выживания приобретает черты «вечного возвращения» в замкнутой системе («туда-сюда» в проруби).
води их за руку в школу,туда-сюда,",","фруктов полно, овощей, колбасы сорок сортов.","Мария Варденга. Сати Спивакова. Соло второй скрипки // «Домовой», 2002.01.04",Мария Варденга,,Сати Спивакова. Соло второй скрипки,2002,2002,XXI,публицистика,интервью,частная жизнь,«Домовой»,журнал,"Вот тебе дом с садиком в тихом поселочке, двое детей -- води их за руку в школу туда-сюда, фруктов полно, овощей, колбасы сорок сортов.",школу,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, tran sing, impr, excl",движения,препозиция,5,5,води,водить,Прямое,Отсутствует,"Вот тебе дом с садиком в тихом поселочке, двое детей -- води их за руку в школу туда-сюда, фруктов полно, овощей, колбасы сорок сортов."
они начали до этого -- возить тележки,туда-сюда,",","брякать ложками, а тут вообще началось","А. А. Сидякина. Маргиналы // «Уральская новь», 2002",А. А. Сидякина,1972,Маргиналы,2002,2002,XXI,публицистика,хроника,история | искусство и культура,«Уральская новь»,журнал,"Т.е. хамить они начали до этого -- возить тележки туда-сюда, брякать ложками, а тут вообще началось -- какие-то реплики, вроде «что за ерунда тут, пришли шаромыги, гнать их вообще» -- в общем, пошло неприкрытое хамство.",тележки,"В разные стороны, во все концы",1,Да,глагол (инфинитив),"INFN, impf, tran",движения,препозиция,1,1,возить,возить,Прямое,Отсутствует,"Т.е. хамить они начали до этого -- возить тележки туда-сюда, брякать ложками, а тут вообще началось -- какие-то реплики, вроде «что за ерунда тут, пришли шаромыги, гнать их вообще» -- в общем, пошло неприкрытое хамство."
"с ранчо («Дорогой, сколько можно ездить",туда-сюда,!,,"Юлия Пешкова. Скарлетт // «Домовой», 2002.10.04",Юлия Пешкова,,Скарлетт,2002,2002,XXI,публицистика,статья,частная жизнь,«Домовой»,журнал,"Если ей удалось вытащить Пола с ранчо («Дорогой, сколько можно ездить туда-сюда!",ездить,"В разные стороны, во все концы",1,Да,глагол (инфинитив),"INFN, impf, intr",движения,препозиция,0,0,ездить,ездить,Прямое,Отсутствует,"Если ей удалось вытащить Пола с ранчо («Дорогой, сколько можно ездить туда-сюда!"
"иду, а таможенники с пограничниками ездят",туда-сюда,,и еще издеваются: «Физкультпривет!»,"Дмитрий Соколов-Митрич. Пустите нас в дурдом. На российско-украинской границе появилась калининградская проблема // «Известия», 2002.10.03",Дмитрий Соколов-Митрич,,Пустите нас в дурдом. На российско-украинской границе появилась калининградская проблема,2002,2002,XXI,публицистика,статья,политика и общественная жизнь,«Известия»,газета,"Я иду, а таможенники с пограничниками ездят туда-сюда и ещё издеваются: «Физкультпривет!»",ездят,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr plur, 3per, pres, indc",движения,препозиция,0,0,ездят,ездить,Прямое,Отсутствует,"Я иду, а таможенники с пограничниками ездят туда-сюда и ещё издеваются: «Физкультпривет!»"
Вот я и мотался,туда-сюда,",","пытаясь предотвратить простои экскаваторов, рассосать ситуацию",Георгий Жженов. Прожитое (2002),Георгий Жженов,1915,Прожитое,2002,2002,XXI,публицистика,мемуары,,Георгий Жженов. Прожитое,книга,"Вот я и мотался туда-сюда, пытаясь предотвратить простои экскаваторов, рассосать ситуацию в надежде, что мои «павшие» проспятся и вернутся в строй.",мотался,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr masc, sing, past, indc",движения,препозиция,0,0,мотался,мотаться,Переносное,Отсутствует,"Вот я и мотался туда-сюда, пытаясь предотвратить простои экскаваторов, рассосать ситуацию в надежде, что мои «павшие» проспятся и вернутся в строй."
мальки — рыбьи дети — не просто так,туда-сюда,,носятся.,"Софья Лежнева. Рассказы про Вовку // «Мурзилка», 2002",Софья Лежнева,,Рассказы про Вовку,2002,2002,XXI,художественная,рассказ,,«Мурзилка»,журнал,"И увидел, что мальки — рыбьи дети — не просто так туда-сюда носятся.",так,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr plur, 3per, pres, indc",движения,постпозиция,0,0,носятся,носиться,Прямое,Отсутствует,"И увидел, что мальки — рыбьи дети — не просто так туда-сюда носятся."
"способен на реальные достижения, он покачивается",туда-сюда,",",чем соблазняет одних на бездействие и,"Анна Кузнецова. Функции ума // «Октябрь», 2002",Анна Кузнецова,,Функции ума,2002,2002,XXI,публицистика,рецензия,искусство и культура,«Октябрь»,журнал,"эТот амбивалентный мир не способен на реальные достижения, он покачивается туда-сюда, чем соблазняет одних на бездействие и гармоническое слияние с ним, других-- на импульсивные непоследовательные движения.",покачивается,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr sing, 3per, pres, indc",движения,препозиция,0,0,покачивается,покачиваться,Прямое,Отсутствует,"эТот амбивалентный мир не способен на реальные достижения, он покачивается туда-сюда, чем соблазняет одних на бездействие и гармоническое слияние с ним, других-- на импульсивные непоследовательные движения."
двадцать минут вы пройдете по кабинету,туда-сюда,.,,"Татьяна Врацкая. Если вы не хотите переплачивать за электроэнергию... // «Homes & Gardens», 2002.09.13",Татьяна Врацкая,,Если вы не хотите переплачивать за электроэнергию...,2002,2002,XXI,реклама,объявление,техника,«Homes & Gardens»,журнал,"Он будет работать в заданном режиме, если хотя бы раз в двадцать минут вы пройдете по кабинету туда-сюда.",кабинету,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, perf, tran plur, 2per, futr, indc",движения,препозиция,2,2,пройдете,пройти,Прямое,Отсутствует,"Он будет работать в заданном режиме, если хотя бы раз в двадцать минут вы пройдете по кабинету туда-сюда."
Он прошелся мимо песиков,туда-сюда,",",с презрением поцарапал асфальт задней лапой,"Константин Сергиенко. До свидания, овраг (2002)",Константин Сергиенко,,"До свидания, овраг",2002,2002,XXI,художественная,повесть,природа,"Константин Сергиенко. До свидания, овраг",книга,"Он прошелся мимо песиков туда-сюда, с презрением поцарапал асфальт задней лапой, а потом поднял ее и окатил столб.",песиков,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, perf, intr masc, sing, past, indc",движения,препозиция,2,2,прошелся,пройтись,Прямое,Отсутствует,"Он прошелся мимо песиков туда-сюда, с презрением поцарапал асфальт задней лапой, а потом поднял ее и окатил столб."
"группа двуногих агитаторов, которые упорно слоняются",туда-сюда,,"по улицам, шевеля своими черными губами.","Алексей Томтосов. «Ходьба во имя свободы» // «Жизнь национальностей», 2002.06.05",Алексей Томтосов,,«Ходьба во имя свободы»,2002,2002,XXI,публицистика,статья,история | наука и технологии,«Жизнь национальностей»,журнал,"Я говорю вам, что существует группа двуногих агитаторов, которые упорно слоняются туда-сюда по улицам, шевеля своими черными губами.",слоняются,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr plur, 3per, pres, indc",движения,препозиция,0,0,слоняются,слоняться,Прямое,Отсутствует,"Я говорю вам, что существует группа двуногих агитаторов, которые упорно слоняются туда-сюда по улицам, шевеля своими черными губами."
"бинтов, в общем, продолжайте сами) сновали",туда-сюда,,"по переходам и лестницам, роняли папки","Федор Павлов-Андреевич. Питомник // «Домовой», 2002.04.04",Федор Павлов-Андреевич,,Питомник,2002,2002,XXI,публицистика,репортаж,политика и общественная жизнь,«Домовой»,журнал,"Зафриченные японки и японцы (с розовыми волосами дыбом, без волос вообще, но с вытатуированными лысинами, в огромных пестрых плащ-палатках, в рубашках из бинтов, в общем, продолжайте сами) сновали туда-сюда по переходам и лестницам, роняли папки с эскизами, перетаскивали гигантские учебные объекты, а на этаже косметологии даже выбегали в коридор в лечебных зелено-коричневых масках!",сновали,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr plur, past, indc",движения,препозиция,0,0,сновали,сновать,Прямое,Отсутствует,"Зафриченные японки и японцы (с розовыми волосами дыбом, без волос вообще, но с вытатуированными лысинами, в огромных пестрых плащ-палатках, в рубашках из бинтов, в общем, продолжайте сами) сновали туда-сюда по переходам и лестницам, роняли папки с эскизами, перетаскивали гигантские учебные объекты, а на этаже косметологии даже выбегали в коридор в лечебных зелено-коричневых масках!"
и устроились в нехитрую конторку -- сновать,туда-сюда,",","демонстрируя коленки, что-то печатать, куда-то звонить.",Дарья Симонова. Шанкр (2002),Дарья Симонова,1972,Шанкр,2002,2002,XXI,художественная,повесть,,Дарья Симонова. Половецкие пляски,книга,"Лиза с Ритой почистили перышки и устроились в нехитрую конторку -- сновать туда-сюда, демонстрируя коленки, что-то печатать, куда-то звонить.",сновать,"В разные стороны, во все концы",1,Да,глагол (инфинитив),"INFN, impf, intr",движения,препозиция,0,0,сновать,сновать,Прямое,Отсутствует,"Лиза с Ритой почистили перышки и устроились в нехитрую конторку -- сновать туда-сюда, демонстрируя коленки, что-то печатать, куда-то звонить."
"Дождь усиливается, дворники безостановочно снуют",туда-сюда,",","видимость все равно отвратительная, но когда","Лидия Маслова. Птица-трешка // «Автопилот», 2002.05.15",Лидия Маслова,,Птица-трешка,2002,2002,XXI,публицистика,"дневник, записные книжки",техника,«Автопилот»,журнал,"Дождь усиливается, дворники безостановочно снуют туда-сюда, видимость все равно отвратительная, но когда ещё прокатишься?",снуют,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr plur, 3per, pres, indc",движения,препозиция,0,0,снуют,сновать,Прямое,Отсутствует,"Дождь усиливается, дворники безостановочно снуют туда-сюда, видимость все равно отвратительная, но когда ещё прокатишься?"
А я ходил все время,туда-сюда,,и смотрел.,"Ксения Аксельрод. Ora - Ito гость из будущего // «Мир & Дом. City», 2002.01.15",Ксения Аксельрод,,Ora - Ito гость из будущего,2002,2002,XXI,публицистика,интервью,"бизнес, коммерция, экономика, финансы",«Мир & Дом. City»,журнал,А я ходил все время туда-сюда и смотрел.,время,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr masc, sing, past, indc",движения,препозиция,2,2,ходил,ходить,Прямое,Отсутствует,А я ходил все время туда-сюда и смотрел.
никто не мешал ходить по самолету,туда-сюда,.,,"Сергей Иванов. Марш авиаторов // «Звезда», 2002",Сергей Иванов,,Марш авиаторов,2002,2002,XXI,художественная,повесть,,«Звезда»,журнал,"Я встал у порога и передавал ящики, подносимые ученым-коммерсантом из шаланды похмельному грузчику, которому теперь никто не мешал ходить по самолету туда-сюда.",самолету,"В разные стороны, во все концы",1,Да,глагол (инфинитив),"INFN, impf, intr",движения,препозиция,2,2,ходить,ходить,Прямое,Отсутствует,"Я встал у порога и передавал ящики, подносимые ученым-коммерсантом из шаланды похмельному грузчику, которому теперь никто не мешал ходить по самолету туда-сюда."
что заставляет его ходить хаотическими петлями,туда-сюда,?,,"Юлия Капишникова. Львиный зев // «Пятое измерение», 2002",Юлия Капишникова,,Львиный зев,2002,2002,XXI,публицистика,гороскоп,частная жизнь,«Пятое измерение»,газета,что заставляет его ходить хаотическими петлями туда-сюда?,петлями,"В разные стороны, во все концы",1,Да,глагол (инфинитив),"INFN, impf, intr",движения,препозиция,2,2,ходить,ходить,Прямое,Отсутствует,что заставляет его ходить хаотическими петлями туда-сюда?
Пока Куня ходит,туда-сюда,",","выставив руки перед собой, Вэк берет",Владимир Козлов. Гопники (2002),Владимир Козлов,1972,Гопники,2002,2002,XXI,художественная,повесть,,В. Козлов. Гопники,книга,"Пока Куня ходит туда-сюда, выставив руки перед собой, Вэк берет с земли палку и начинает ковырять говно.",ходит,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr sing, 3per, pres, indc",движения,препозиция,0,0,ходит,ходить,Прямое,Отсутствует,"Пока Куня ходит туда-сюда, выставив руки перед собой, Вэк берет с земли палку и начинает ковырять говно."
"Играет оркестр, раздаются команды, они ходят",туда-сюда,",",целое представление.,Алексей Кузнецов. Между Гринвичем и Куреневкой (2002),Алексей Кузнецов,1960,Между Гринвичем и Куреневкой,2002,2002,XXI,публицистика,мемуары,,Алексей Кузнецов. Между Гринвичем и Куреневкой,книга,"Играет оркестр, раздаются команды, они ходят туда-сюда, целое представление.",ходят,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr plur, 3per, pres, indc",движения,препозиция,0,0,ходят,ходить,Прямое,Отсутствует,"Играет оркестр, раздаются команды, они ходят туда-сюда, целое представление."
,туда-сюда,",",и следов нигде не унюхаешь.,"Владислав Бахревский. Медвежьи сказки // «Мурзилка», 2002",Владислав Бахревский,,Медвежьи сказки,2002,2002,XXI,художественная,сказка,,«Мурзилка»,журнал,"Туда-сюда, и следов нигде не унюхаешь.",,"В разные стороны, во все концы",1,Нет,Слово отсутствует,Слово отсутствует,,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Переносное,Отсутствует,"Туда-сюда, и следов нигде не унюхаешь."
Не «,туда-сюда,»,"и даже не «вверх-вниз», а выметающими","Григорий Курбатов. Зубы: что такое хорошо и что такое плохо // «Семейный доктор», 2002.11.15",Григорий Курбатов,,Зубы: что такое хорошо и что такое плохо,2002,2002,XXI,публицистика,статья,здоровье и медицина,«Семейный доктор»,журнал,"Не «туда-сюда» и даже не «вверх-вниз», а выметающими движениями от десен.",не,"В разные стороны, во все концы",1,Нет,Слово отсутствует,Слово отсутствует,,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Прямое,Отсутствует,"Не «туда-сюда» и даже не «вверх-вниз», а выметающими движениями от десен."
Люди в наши дни кидаются,туда-сюда,,"шало, нежданно, как в угаре».","Игорь Сухих. Пытка памятью // «Звезда», 2002",Игорь Сухих,1952,Пытка памятью,2002,2002,XXI,публицистика,статья,искусство и культура,«Звезда»,журнал,"Люди в наши дни кидаются туда-сюда шало, нежданно, как в угаре».",кидаются,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr plur, 3per, pres, indc",конкретного физического действия,препозиция,0,0,кидаются,кидаться,Прямое,Отсутствует,"Люди в наши дни кидаются туда-сюда шало, нежданно, как в угаре»."
минут десять мы судорожно крутили руль,туда-сюда,",","сдавали задом и передом, лишь бы","Александр Федоров. Rеактивный Sарай // «Автопилот», 2002.11.15",Александр Федоров,,Rеактивный Sарай,2002,2002,XXI,публицистика,статья,техника,«Автопилот»,журнал,"В тот день в узком переулке, где находится автосалон, огромная фура-грузовик не поделила дорогу со «Шкодой», и минут десять мы судорожно крутили руль туда-сюда, сдавали задом и передом, лишь бы объехать эту пробку.",руль,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, tran plur, past, indc",конкретного физического действия,препозиция,1,1,крутили,крутить,Прямое,Отсутствует,"В тот день в узком переулке, где находится автосалон, огромная фура-грузовик не поделила дорогу со «Шкодой», и минут десять мы судорожно крутили руль туда-сюда, сдавали задом и передом, лишь бы объехать эту пробку."
и по жаре сорок минут топал,туда-сюда,",",пока две школьницы его на нужное,"Людмила Улицкая. Цю-юрихь // «Новый Мир», 2002",Людмила Улицкая,1943,Цю-юрихь,2002,2002,XXI,художественная,рассказ,,«Новый Мир»,журнал,"Сбился от метро «Бауманская» не на ту сторону, дурачок, и по жаре сорок минут топал туда-сюда, пока две школьницы его на нужное место не вывели.",топал,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr masc, sing, past, indc",конкретного физического действия,препозиция,0,0,топал,топать,Прямое,Отсутствует,"Сбился от метро «Бауманская» не на ту сторону, дурачок, и по жаре сорок минут топал туда-сюда, пока две школьницы его на нужное место не вывели."
"И, передвигаясь",туда-сюда,,по палубам в условиях этой легкой,"Юрий Зубцов, Яна Зубцова. Чудеса под парусами // «Домовой», 2002.10.04",Юрий Зубцов | Яна Зубцова,,Чудеса под парусами,2002,2002,XXI,публицистика,"дневник, записные книжки",путешествия,«Домовой»,журнал,"И, передвигаясь туда-сюда по палубам в условиях этой легкой качки, ты инстинктивно напрягаешь мышцы.",передвигаясь,"В разные стороны, во все концы",1,Да,деепричастие,"GRND, impf, intr pres",движения,препозиция,0,0,передвигаясь,передвигаться,Прямое,Отсутствует,"И, передвигаясь туда-сюда по палубам в условиях этой легкой качки, ты инстинктивно напрягаешь мышцы."
"Еле-еле нашли, прочесывая местность",туда-сюда,,несколько раз.,"Илья Анпилогов. Уроки армии и войны, или Хроника чеченских будней. Из дневника солдата-срочника // «Континент», 2002",Илья Анпилогов,1982,"Уроки армии и войны, или Хроника чеченских будней. Из дневника солдата-срочника",2002,2002,XXI,художественная,рассказ,,«Континент»,журнал,"Еле-еле нашли, прочесывая местность туда-сюда несколько раз.",местность,"В разные стороны, во все концы",1,Да,деепричастие,"GRND, impf, tran pres",движения,препозиция,1,1,прочесывая,прочёсывать,Прямое,Отсутствует,"Еле-еле нашли, прочесывая местность туда-сюда несколько раз."
в приемной (оказалось тоже полезным: сновавшие,туда-сюда,,человек десять аппаратных работников меня видели,Георгий Арбатов. Человек Системы (2002),Георгий Арбатов,1923,Человек Системы,2002,2002,XXI,публицистика,мемуары,,Георгий Арбатов. Человек Системы,книга,Минут двадцать ждал в приемной (оказалось тоже полезным: сновавшие туда-сюда человек десять аппаратных работников меня видели и быстро рассказали другим).,сновавшие,"В разные стороны, во все концы",1,Да,причастие (полное),"PRTF, impf, intr, past, actv plur, nomn",движения,препозиция,0,0,сновавшие,сновать,Прямое,Отсутствует,Минут двадцать ждал в приемной (оказалось тоже полезным: сновавшие туда-сюда человек десять аппаратных работников меня видели и быстро рассказали другим).
этого посреди чуть облупившегося пафоса и,туда-сюда,,снующих мужчин в пиджаках выглядит еще,"Юрий Зубцов. Королева Кабо-Верде // «Домовой», 2002.06.04",Юрий Зубцов,,Королева Кабо-Верде,2002,2002,XXI,публицистика,интервью,частная жизнь,«Домовой»,журнал,"Только она не цыганка, а негритянка, но от этого посреди чуть облупившегося пафоса и туда-сюда снующих мужчин в пиджаках выглядит ещё более неуместно.",и,"В разные стороны, во все концы",1,Да,причастие (полное),"PRTF, impf, intr, pres, actv plur, gent",движения,постпозиция,0,0,снующих,сновать,Прямое,Отсутствует,"Только она не цыганка, а негритянка, но от этого посреди чуть облупившегося пафоса и туда-сюда снующих мужчин в пиджаках выглядит ещё более неуместно."
"искать, там какие-то мастерские, подсобки… Я",туда-сюда,",","тык-пык, да, наверно, не в","Федор Чернин. Вячик Слонимиров и его путешествие в непонятное // «Звезда», 2002",Федор Чернин,,Вячик Слонимиров и его путешествие в непонятное,2002,2002,XXI,художественная,повесть,,«Звезда»,журнал,"Я в гараже возле «Мэйсиса», на Шестой, свою тачку бросил, а пришел -- хозяина нет, пошел его искать, там какие-то мастерские, подсобки… Я туда-сюда, тык-пык, да, наверно, не в ту дверь…Три часа здесь, наверное, ошиваюсь.",я,"В разные стороны, во все концы",1,Да,местоимение,"NPRO, 1per sing, nomn",,препозиция,0,0,я,я,Прямое,Отсутствует,"Я в гараже возле «Мэйсиса», на Шестой, свою тачку бросил, а пришел -- хозяина нет, пошел его искать, там какие-то мастерские, подсобки… Я туда-сюда, тык-пык, да, наверно, не в ту дверь…Три часа здесь, наверное, ошиваюсь."
"с другой -- ну, первый день ладно,",туда-сюда,",","ребята поразвлекались, а на второй хотелось","Алексей Варламов. Падчевары // «Новый Мир», 2002",Алексей Варламов,1963,Падчевары,2002,2002,XXI,художественная,рассказ | цикл,,«Новый Мир»,журнал,"С одной стороны, теперь мы знали, что четырьмя мужиками джип, в принципе, вытаскиваем и его освобождение из снежного плена лишь вопрос времени и труда, с другой -- ну, первый день ладно, туда-сюда, ребята поразвлекались, а на второй хотелось порыбачить, и когда машина встала, не было больше шуточек, началась суровая, скупая на слова мужицкая работа.",ладно,"Ничего, сойдет ",2,Нет,Слово отсутствует,Слово отсутствует,,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Переносное,Отсутствует,"С одной стороны, теперь мы знали, что четырьмя мужиками джип, в принципе, вытаскиваем и его освобождение из снежного плена лишь вопрос времени и труда, с другой -- ну, первый день ладно, туда-сюда, ребята поразвлекались, а на второй хотелось порыбачить, и когда машина встала, не было больше шуточек, началась суровая, скупая на слова мужицкая работа."
Хозяйка было,туда-сюда,",","хотела судиться, но пришли к ней","Г. Я. Бакланов. Дурень // «Знамя», 2002",Г. Я. Бакланов,1923,Дурень,2002,2002,XXI,художественная,рассказ,,«Знамя»,журнал,"Хозяйка было туда-сюда, хотела судиться, но пришли к ней двое: «А домишко-то у вас, глядим, деревянный.",было,"Ничего, сойдет ",2,Да,глагол (личная форма),"VERB, impf, intr neut, sing, past, indc",локализации,препозиция,0,0,было,быть,Переносное,Отсутствует,"Хозяйка было туда-сюда, хотела судиться, но пришли к ней двое: «А домишко-то у вас, глядим, деревянный."
Мне объявляют «,туда-сюда,",",покраска-рихтовка» -- около $800.,"Николай Сухов. Опыт: Получить деньги на ремонт с виновника аварии // «Автопилот», 2002.03.15",Николай Сухов,,Опыт: Получить деньги на ремонт с виновника аварии,2002,2002,XXI,публицистика,статья,право,«Автопилот»,журнал,"Мне объявляют «туда-сюда, покраска-рихтовка» -- около $800.",объявляют,"То так, то наоборот ",4,Нет,Слово отсутствует,Слово отсутствует,,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Переносное,Отсутствует,"Мне объявляют «туда-сюда, покраска-рихтовка» -- около $800."
"Познакомимся, шашлычки,",туда-сюда,...,,Кирилл Тахтамышев. Айкара (2002),Кирилл Тахтамышев,1968,Айкара,2002,2002,XXI,художественная,рассказ,,"Пролог. Молодая литература России. Сборник прозы, поэзии, критики, драматургии",книга,"Познакомимся, шашлычки, туда-сюда...",шашлычки,"То так, то наоборот ",4,Нет,Слово отсутствует,Слово отсутствует,,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Переносное,Отсутствует,"Познакомимся, шашлычки, туда-сюда..."
Бродя,туда-сюда,,"по узким тропкам меж особняков, Шабашов","Андрей Дмитриев. Призрак театра (2002-2003) // «Знамя», 2003",Андрей Дмитриев,1956,Призрак театра,2002-2003,2002,XXI,художественная,повесть,,«Знамя»,журнал,"Бродя туда-сюда по узким тропкам меж особняков, Шабашов не то чтоб мерз, но чувствовал озноб.",бродя,"В разные стороны, во все концы",1,Да,деепричастие,"GRND, impf, intr pres",движение,препозиция,0,0,бродя,бродить,Прямое,Отсутствует,"Бродя туда-сюда по узким тропкам меж особняков, Шабашов не то чтоб мерз, но чувствовал озноб."
